APOCAL'IPSSI - ARTEFACT 6/7 - Product Backlog - EduTutor IA - Équipe-19 - v1.0 - Remis le 29/06/2026 12h55
"20 user stories organisées en 6 epics · critères INVEST · priorité MoSCoW",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Équipe 19 : Mathieu PONNOU · Ndiasse MBEGUERE · Ismael CEREZO · Philippe MAILLOT · Aboubacar COUMARE · Milane MEHALEBI · Rédacteur : Aboubacar COUMARE",,,,,,,,,,,,,,
"Projet EduTutor IA · Édition 2026 · Semaine immersive Scrum",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"ID","EPIC","TITRE","USER STORY (format As a… I want… So that…)","INVEST : Indépendante ?","INVEST : Négociable ?","INVEST : Valuable ?","INVEST : Estimable ?","INVEST : Small ?","INVEST : Testable ?","MOSCOW","POINTS (Fibonacci)","SPRINT CIBLE","CRITÈRES D'ACCEPTATION","STATUS"
"US-11","EPIC 4 — Quiz","Voir le détail des corrections","En tant qu'étudiant·e, je veux voir pour chaque question si ma réponse était correcte ou non afin d'identifier mes erreurs précisément.","Non — dépend US-09","Oui","Oui — transforme le score en apprentissage","Oui — 2 pts","Oui","Oui","Must have","2","Sprint 3","1. Chaque question affichée après soumission · 2. Ma réponse en rouge si incorrecte · 3. Bonne réponse en vert · 4. Ma réponse en vert si correcte · 5. Pas de navigation possible après soumission (évite la triche) · 6. F5 validée PO","Done (kit)"
"US-12","EPIC 5 — Historique & stats","Consulter l'historique des quiz","En tant qu'étudiant·e, je veux voir la liste de tous mes quiz passés afin de suivre mes révisions dans le temps.","Non — dépend US-10","Oui — filtres négociables","Oui — rétention critique","Oui — 2 pts","Oui","Oui","Must have","2","Sprint 5","1. Liste des quiz (date · titre cours · score /10) · 2. Ordre chronologique décroissant · 3. Clic → détail du quiz · 4. Données persistées entre sessions · 5. F6 validée PO","Done (kit)"
"US-13","EPIC 5 — Historique & stats","Tableau de bord de progression","En tant qu'étudiant·e, je veux consulter un tableau de bord avec mes statistiques afin de visualiser mon amélioration au fil du temps.","Non — dépend US-12","Oui — graphiques négociables","Oui — motivation et rétention","Oui — 3 pts","Oui","Oui","Should have","3","Sprint 5","1. Score moyen affiché · 2. Nombre total de quiz passés · 3. Meilleur score · 4. Graphique d'évolution des scores · 5. Page /dashboard accessible depuis le menu · 6. Données calculées côté backend","Done (kit)"
"US-14","EPIC 5 — Historique & stats","Réviser ses réponses incorrectes","En tant qu'étudiant·e, je veux revoir uniquement les questions que j'ai ratées afin d'optimiser mon temps de révision.","Non — dépend US-11","Oui","Oui — fort levier d'apprentissage","Oui — 2 pts","Oui","Oui","Should have","2","Sprint 5","1. Page /review listant toutes les questions ratées · 2. Ma réponse en rouge · 3. Bonne réponse en vert · 4. Filtrable par quiz · 5. Marquage comme 'révisée' optionnel","Done (kit)"
"US-15","EPIC 6 — Release 2","Choisir le niveau de difficulté","En tant qu'étudiant·e, je veux choisir entre facile, moyen et difficile afin d'adapter le quiz à mon niveau de préparation.","Non — dépend US-08","Oui — niveaux négociables","Oui — personnalisation forte","Oui — 3 pts","Oui","Oui","Could have","3","Sprint 6","1. Sélecteur 3 niveaux à la création · 2. Prompt LLM adapté par niveau · 3. Questions notablement plus difficiles en mode difficile (testé sur 3 cours) · 4. Niveau stocké avec le quiz","À faire"
"US-16","EPIC 6 — Release 2","Explication des réponses","En tant qu'étudiant·e, je veux voir une explication pour chaque réponse afin de comprendre le raisonnement et apprendre plus durablement.","Non — dépend US-11","Oui — format négociable","Oui — transforme l'évaluation en apprentissage","Oui — 3 pts","Oui","Oui","Could have","3","Sprint 6","1. Champ explication par question · 2. Généré par le LLM dans le même appel que les QCM · 3. Ancré dans le texte du cours · 4. Affiché après soumission sous la correction","À faire"
"US-17","EPIC 6 — Release 2","Partager un quiz par lien","En tant qu'étudiant·e, je veux partager mon quiz avec un lien public afin de réviser en groupe avec mes camarades.","Non — dépend US-08","Oui — public/privé négociable","Oui — viralité organique","Oui — 3 pts","Oui","Oui","Could have","3","Sprint 6","1. Bouton Partager sur la page quiz · 2. Lien unique généré (share_token) · 3. Accessible sans compte · 4. Le destinataire voit les questions mais pas les réponses avant soumission","À faire"
"US-18","EPIC 6 — Release 2","Exporter ses données RGPD","En tant qu'utilisateur·ice, je veux exporter toutes mes données personnelles afin d'exercer mon droit à la portabilité (RGPD Art. 20).","Oui","Non — obligation légale","Oui — confiance et conformité","Oui — 2 pts","Oui","Oui","Could have","2","Sprint 4 (P4 RGPD)","1. Bouton Exporter mes données dans le profil · 2. Téléchargement JSON (user + quiz + réponses) · 3. Toutes les données personnelles incluses · 4. Format lisible par machine et humain","À faire"
"US-19","EPIC 6 — Release 2","Rappels email de révision","En tant qu'étudiant·e, je veux recevoir un email de rappel si je n'ai pas révisé depuis 3 jours afin de maintenir une habitude régulière.","Non — dépend US-01","Oui — fréquence négociable","Oui — rétention à long terme","Oui — 3 pts","Oui","Oui","Could have","3","Sprint 7","1. Tâche planifiée (cron) vérifiant inactivité > 3 jours · 2. Email envoyé via Brevo · 3. Lien unsubscribe dans l'email · 4. Opt-out depuis le profil · 5. Pas de doublon si déjà envoyé cette semaine","À faire"
"US-20","EPIC 6 — Release 2","Catégoriser ses quiz par matière","En tant qu'étudiant·e, je veux associer une matière à chaque quiz afin de retrouver rapidement mes révisions par sujet.","Non — dépend US-12","Oui","Oui — organisation de l'historique","Oui — 2 pts","Oui","Oui","Could have","2","Sprint 6","1. Champ matière à la création du quiz · 2. Filtre par matière dans l'historique · 3. Matière affichée dans la liste historique · 4. Matière stockée en base · 5. Pas obligatoire (champ optionnel)","À faire"
"US-21","EPIC 4 – Quiz","Générer un quiz ancré dans le support","En tant qu'enseignante, je veux générer un quiz à partir de mon propre support de cours afin d'obtenir des questions adaptées à mon contenu.","Oui","Oui","Oui","Oui","Must","Perturbation J1 : besoin enseignant renforcé"
"US-22","EPIC 4 – Quiz","Limiter les hallucinations","En tant qu'enseignante, je veux que les questions soient directement liées au support fourni afin d'éviter les questions hors sujet ou inventées par l'IA.","Oui","Oui","Oui","Oui","Must","Perturbation J1 : fiabilité pédagogique"
"US-23","EPIC 4 – Quiz","Relire les questions générées","En tant qu'enseignante, je veux relire les questions générées afin de vérifier leur pertinence avant de les utiliser en classe.","Oui","Oui","Oui","Oui","Should","Ajout après perturbation J1"
"US-24","EPIC 6 – Release 2","Exporter un quiz","En tant qu'enseignante, je veux exporter le quiz afin de pouvoir l'utiliser dans un autre outil ou en classe.","Oui","Oui","Oui","Oui","Could","Piste Release 2 après perturbation J1"
"US-25","EPIC 6 – Release 2","Statistiques de classe","En tant qu'enseignante, je veux consulter des statistiques de classe afin de suivre la progression d'un groupe.","Oui","Oui","Oui","Oui","Could","Piste Release 2 après perturbation J1"
,,,,,,,,,,,,,,
"TABLEAU RÉCAPITULATIF",,,,,,,,,,,,,,
"MoSCoW","Nombre de stories","Points total","Sprint(s) cible(s)",,,,,,,,,,,
"Must have","US-01 à US-12 (12 stories)","29 pts","Sprint 1 à 5",,,,,,,,,,,
"Should have","US-03/04/05/13/14 (5 stories)","11 pts","Sprint 1/4/5",,,,,,,,,,,
"Could have","US-15 à US-20 (6 stories)","16 pts","Sprint 6-7",,,,,,,,,,,
"Won't have","Import Word/PPT · Types questions variés · Multilingue · Leaderboard","—","Post-semaine",,,,,,,,,,,
"NOTE J1","Perturbation","Impact sur le Product Backlog","La perturbation J1 introduit un besoin enseignant représenté par Mme Lefèvre. Le MVP F1-F6 n'est pas remis en cause, mais le backlog est ajusté pour renforcer la fiabilité pédagogique, l'ancrage des questions dans le support fourni et le contrôle enseignant.","Oui","Oui","Oui","Oui","Must","Synthèse perturbation J1"
,,,,,,,,,,,,,,
"Vélocité estimée Sprint 1 (4h) : 8-10 pts · Sprint 2-7 (3-4h) : 6-10 pts par sprint",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Mohamed Amine EL AFRIT · APOCAL'IPSSI 2026 · CC BY-NC-SA 4.0",,,,,,,,,,,,,,

