APOCAL'IPSSI - ARTEFACT 7/7 - Sprint Backlog - EduTutor IA - Équipe-19 - v1.0 - Remis le 29/06/2026 12h55
"Décomposition technique du Sprint 1 d'EduTutor IA (Lundi 14h-18h)",,,,,,,,
,,,,,,,,
"Équipe 19 : Mathieu PONNOU · Ndiasse MBEGUERE · Ismael CEREZO · Philippe MAILLOT · Aboubacar COUMARE · Milane MEHALEBI · Rédacteur : Milane MEHALEBI",,,,,,,,
"Projet EduTutor IA · Édition 2026 · Semaine immersive Scrum",,,,,,,,
,,,,,,,,
"SPRINT GOAL : L'équipe dispose d'un environnement local fonctionnel · F1 (authentification email complète) validée par le PO · F2 (upload PDF + saisie texte) testée et bugs documentés sur GitHub Issues.",,,,,,,,
,,,,,,,,
"SPRINT","DURÉE","STORIES ENGAGÉES","POINTS ENGAGÉS","VÉLOCITÉ ESTIMÉE",,,,
"TASK-08","US-02","Tester le flux de connexion et déconnexion","Naviguer vers /login · saisir email + mdp corrects → accès au dashboard · tester mauvais mdp → message d'erreur non révélateur · tester déconnexion → retour /login","Test","Ndiasse MBEGUERE","15","Fait ✅","✓ Connexion réussie → token JWT stocké · ✓ Déconnexion fonctionnelle · ✓ Pages protégées redirigent vers /login sans token (validé le 29/06/2026)"
"TASK-09","US-03","Tester la réinitialisation de mot de passe","Naviguer vers /login → 'Mot de passe oublié' · saisir l'email · vérifier le lien dans les logs · cliquer le lien · saisir nouveau mdp · vérifier l'accès avec le nouveau mdp","Test","Ismael CEREZO","15","Fait ✅","✓ Lien 'Mot de passe oublié' présent sur /login · ✓ Page /forgot-password accessible avec formulaire email · ✓ US-03 validée le 29/06/2026"
"TASK-10","US-04","Tester la modification de profil","Se connecter · naviguer vers /profile · modifier le nom d'affichage · modifier l'email (email unique requis) · modifier le mot de passe · vérifier chaque modification","Test","Ismael CEREZO","15","Fait ✅","✓ Page /profile accessible avec formulaire pré-rempli · ✓ Bouton suppression compte présent (US-05) · ✓ US-04 et US-05 validées le 29/06/2026"
"TASK-11","US-06","Tester la saisie de cours en texte","Naviguer vers /upload · coller < 200 car. → bouton désactivé ou erreur · coller 200+ car. → bouton actif · soumettre et vérifier la génération (mock ou LLM)","Test","Philippe MAILLOT","15","Fait ✅","✓ Saisie texte ≥200 car. fonctionnelle · ✓ Génération de 10 QCM avec llama3.1:8b validée (quiz #8 — Biologie Cycle de Krebs) · ✓ US-06 et US-08 validées le 29/06/2026"
"TASK-12","US-07","Tester l'upload de PDF","Naviguer vers /upload · uploader un PDF < 5 Mo → succès · uploader un PDF > 5 Mo → erreur · uploader un fichier non-PDF (.docx) → erreur · vérifier l'extraction texte","Test","Aboubacar COUMARE","20","À faire","✓ PDF ≤5 Mo accepté · ✓ PDF >5 Mo refusé (message d'erreur clair) · ✓ Fichier non-PDF refusé · ✓ Texte extrait transmis correctement au LLM"
"TASK-13","Setup","Configurer le workflow Git équipe","Définir la convention de branches (feat/ · fix/ · docs/) · configurer les règles de protection main (PR obligatoire) · tester la création d'une PR factice · vérifier la CI GitHub Actions","Setup","Mathieu PONNOU","20","À faire","✓ Règle de protection sur main configurée · ✓ PR template présent · ✓ CI verte sur une PR de test · ✓ Convention Conventional Commits documentée dans un commentaire"
"TASK-14","US-01 US-06 US-07","Documenter les bugs et améliorations trouvés","Créer des GitHub Issues pour chaque bug ou friction identifié lors des tests · utiliser le template bug_report.md · assigner à un membre · labeliser (bug · enhancement · RGPD)","Dev","Tous","20","À faire","✓ Au moins 3 issues créées · ✓ Template bug_report.md utilisé · ✓ Issues assignées et labelisées · ✓ Issues liées aux US correspondantes"
"TASK-15","US-01 US-06","Corriger les bugs bloquants F1/F2 (si identifiés)","Corriger en priorité les bugs bloquants identifiés en TASK-07 à TASK-12 · créer une branche fix/ · ouvrir une PR · faire relire par un coéquipier · merger après CI verte","Dev","Ndiasse MBEGUERE ou Ismael CEREZO","40","À faire","✓ Bug bloquant corrigé · ✓ PR revue par ≥1 membre · ✓ CI verte · ✓ Issue GitHub fermée et liée au commit"
"TASK-16","Scrum","Sprint Review — démo au PO","Préparer une démo live de 5 min (inscription → upload cours → génération quiz → score) · présenter au PO · noter le feedback · vérifier que la DoD est atteinte pour US-01 et US-06/07","Scrum","Mathieu PONNOU (Scrum Master)","20","À faire","✓ Démo live sans coupure · ✓ PO a noté son feedback · ✓ US-01 et US-06/07 marquées Done ou partiellement Done · ✓ Product Backlog mis à jour"
"TASK-17","Scrum","Sprint Retrospective (15 min)","Format Start/Stop/Continue · chaque membre donne 1 Start · 1 Stop · 1 Continue · le Scrum Master synthétise · 1 action concrète pour le Sprint 2 identifiée","Scrum","Mathieu PONNOU (Scrum Master)","15","À faire","✓ Chaque membre a participé · ✓ 1 action d'amélioration documentée pour Sprint 2 · ✓ Durée ≤15 min"
,,,,,,,,
"TASK-26","P4 RGPD Art. 13","Compléter les pages légales (4 pages)","Créer et compléter les 4 pages RGPD dans le frontend React : /mentions-legales · /politique-confidentialite · /cgu · /cookies · Ajouter les liens dans le footer de toutes les pages · Contenu minimal conforme Art. 13 : responsable traitement · données collectées · durées conservation · droits utilisateur","Dev frontend","Aboubacar COUMARE","45","À faire","✓ 4 pages accessibles · ✓ Linkées depuis le footer · ✓ Contenu conforme Art. 13 · ✓ Aucune régression navigation"
"TASK-27","US-18 Must (RGPD Art. 20)","Implémenter l'endpoint export données JSON","Créer GET /api/users/export/ dans le backend Django · Retourner JSON avec : email · date inscription · historique quiz · questions · réponses · scores · Ajouter bouton Télécharger mes données dans /profile frontend · Fichier nommé edututor_mes_donnees_<YYYY-MM-DD>.json","Dev backend + frontend","Ndiasse MBEGUERE","60","À faire","✓ Endpoint retourne JSON valide · ✓ Bouton présent sur /profile · ✓ Téléchargement déclenché correctement · ✓ Données complètes (user + quiz + réponses)"
"TASK-28","US-05 Must (RGPD Art. 17)","Vérifier suppression en cascade du compte","Tester la suppression complète du compte depuis /profile · Vérifier suppression en cascade : compte + historique quiz + scores + réponses · Vérifier que l'utilisateur ne peut plus se reconnecter après suppression · Corriger si suppression partielle (orphelins en base)","Test + correction","Ismael CEREZO","30","À faire","✓ Suppression complète vérifiée en base · ✓ Aucun orphelin · ✓ Reconnexion impossible après suppression"
"TASK-29","P4 RGPD","Déposer les livrables P4","Versionner docs/perturbations/j3bis/ · Vérifier artefact-6 (MoSCoW) et artefact-7 (sprint backlog) mis à jour · Commit et push avant fin Sprint 5","Perturbation","Mathieu PONNOU (Scrum Master)","15","À faire","✓ Fichiers j3bis/ présents sur repo · ✓ artefact-6 et artefact-7 mis à jour · ✓ Commit poussé sur main"
,,,,,,,,
"DEFINITION OF READY (DoR) — vérifiée avant Sprint Planning",,,,,,,,
"✓ Chaque US a des critères d'acceptation testables · ✓ Dépendances identifiées (US-08 dépend US-06 ou US-07) · ✓ Estimée en points · ✓ Priorité MoSCoW assignée · ✓ Pas de question ouverte côté PO",,,,,,,,
,,,,,,,,
"DEFINITION OF DONE (DoD) — vérifiée avant de marquer une US Done",,,,,,,,
"✓ Tous les critères d'acceptation satisfaits · ✓ Code reviewé par ≥1 membre · ✓ Tests pertinents ajoutés (pytest/vitest) · ✓ Lint et CI verts · ✓ Documentation à jour · ✓ Démontrée et acceptée par le PO",,,,,,,,
,,,,,,,,
"BURN-DOWN CIBLE Sprint 1",,,,,,,,
"Heure","14h00","14h30","15h00","15h30","16h00","16h30","17h00","17h30","18h00"
"Points restants idéaux","10","8,8","7,5","6,3","5","3,8","2,5","1,3","0"
"Points restants réels","[à saisir]","[à saisir]","[à saisir]","[à saisir]","[à saisir]","[à saisir]","[à saisir]","[à saisir]","[à saisir]"
,,,,,,,,
"RÉCAPITULATIF TÂCHES PAR TYPE",,,,,,,,
"Type","Nombre de tâches","Durée totale estimée",,,,,,
"Setup","7 tâches (TASK-01 à 06 · 13)","~125 min",,,,,,
"Test","7 tâches (TASK-07 à 12 · 28)","~130 min",,,,,,
"Dev","4 tâches (TASK-14 · 15 · 26 · 27)","~165 min",,,,,,
"Scrum","2 tâches (TASK-16 · 17)","~35 min",,,,,,
"Perturbation","1 tâche (TASK-29)","~15 min",,,,,,
"TOTAL","21 tâches (Sprint 1 + P4 RGPD)","~470 min",,,,,,
,,,,,,,,
"NOTE : Si le setup (TASK-01 à 06) prend > 90 min (LLM lent · port en conflit · Windows make), utiliser LLM_BACKEND=mock pour ne pas bloquer le front. Documenter dans ADR-0001.",,,,,,,,
,,,,,,,,
"Mohamed Amine EL AFRIT · APOCAL'IPSSI 2026 · CC BY-NC-SA 4.0",,,,,,,,

